solver,family,theory,type,num_triggers
z3-4.5.0,Z3,Arrays,unsoundness,0
z3-4.5.0,Z3,Arrays,invalid model,0
z3-4.5.0,Z3,Arrays,crash,0
z3-4.5.0,Z3,Bitvectors,unsoundness,0
z3-4.5.0,Z3,Bitvectors,invalid model,0
z3-4.5.0,Z3,Bitvectors,crash,0
z3-4.5.0,Z3,Core,unsoundness,0
z3-4.5.0,Z3,Core,invalid model,0
z3-4.5.0,Z3,Core,crash,0
z3-4.5.0,Z3,FP,unsoundness,228
z3-4.5.0,Z3,FP,invalid model,282
z3-4.5.0,Z3,FP,crash,0
z3-4.5.0,Z3,Ints,unsoundness,0
z3-4.5.0,Z3,Ints,invalid model,124950
z3-4.5.0,Z3,Ints,crash,0
z3-4.5.0,Z3,RealInts,unsoundness,0
z3-4.5.0,Z3,RealInts,invalid model,49289
z3-4.5.0,Z3,RealInts,crash,0
z3-4.5.0,Z3,Reals,unsoundness,0
z3-4.5.0,Z3,Reals,invalid model,51732
z3-4.5.0,Z3,Reals,crash,0
z3-4.5.0,Z3,Strings,unsoundness,6391
z3-4.5.0,Z3,Strings,invalid model,70520
z3-4.5.0,Z3,Strings,crash,0
z3-4.6.0,Z3,Arrays,unsoundness,0
z3-4.6.0,Z3,Arrays,invalid model,0
z3-4.6.0,Z3,Arrays,crash,0
z3-4.6.0,Z3,Bitvectors,unsoundness,0
z3-4.6.0,Z3,Bitvectors,invalid model,0
z3-4.6.0,Z3,Bitvectors,crash,0
z3-4.6.0,Z3,Core,unsoundness,0
z3-4.6.0,Z3,Core,invalid model,0
z3-4.6.0,Z3,Core,crash,0
z3-4.6.0,Z3,FP,unsoundness,0
z3-4.6.0,Z3,FP,invalid model,0
z3-4.6.0,Z3,FP,crash,0
z3-4.6.0,Z3,Ints,unsoundness,304
z3-4.6.0,Z3,Ints,invalid model,154758
z3-4.6.0,Z3,Ints,crash,0
z3-4.6.0,Z3,RealInts,unsoundness,0
z3-4.6.0,Z3,RealInts,invalid model,82705
z3-4.6.0,Z3,RealInts,crash,0
z3-4.6.0,Z3,Reals,unsoundness,0
z3-4.6.0,Z3,Reals,invalid model,108604
z3-4.6.0,Z3,Reals,crash,0
z3-4.6.0,Z3,Strings,unsoundness,6830
z3-4.6.0,Z3,Strings,invalid model,14706
z3-4.6.0,Z3,Strings,crash,0
z3-4.7.1,Z3,Arrays,unsoundness,0
z3-4.7.1,Z3,Arrays,invalid model,0
z3-4.7.1,Z3,Arrays,crash,0
z3-4.7.1,Z3,Bitvectors,unsoundness,0
z3-4.7.1,Z3,Bitvectors,invalid model,0
z3-4.7.1,Z3,Bitvectors,crash,0
z3-4.7.1,Z3,Core,unsoundness,0
z3-4.7.1,Z3,Core,invalid model,0
z3-4.7.1,Z3,Core,crash,0
z3-4.7.1,Z3,FP,unsoundness,0
z3-4.7.1,Z3,FP,invalid model,0
z3-4.7.1,Z3,FP,crash,0
z3-4.7.1,Z3,Ints,unsoundness,836
z3-4.7.1,Z3,Ints,invalid model,147682
z3-4.7.1,Z3,Ints,crash,0
z3-4.7.1,Z3,RealInts,unsoundness,0
z3-4.7.1,Z3,RealInts,invalid model,82535
z3-4.7.1,Z3,RealInts,crash,0
z3-4.7.1,Z3,Reals,unsoundness,0
z3-4.7.1,Z3,Reals,invalid model,108604
z3-4.7.1,Z3,Reals,crash,0
z3-4.7.1,Z3,Strings,unsoundness,3720
z3-4.7.1,Z3,Strings,invalid model,6351
z3-4.7.1,Z3,Strings,crash,0
z3-4.8.1,Z3,Arrays,unsoundness,0
z3-4.8.1,Z3,Arrays,invalid model,0
z3-4.8.1,Z3,Arrays,crash,0
z3-4.8.1,Z3,Bitvectors,unsoundness,0
z3-4.8.1,Z3,Bitvectors,invalid model,0
z3-4.8.1,Z3,Bitvectors,crash,0
z3-4.8.1,Z3,Core,unsoundness,0
z3-4.8.1,Z3,Core,invalid model,0
z3-4.8.1,Z3,Core,crash,1742
z3-4.8.1,Z3,FP,unsoundness,0
z3-4.8.1,Z3,FP,invalid model,0
z3-4.8.1,Z3,FP,crash,0
z3-4.8.1,Z3,Ints,unsoundness,0
z3-4.8.1,Z3,Ints,invalid model,66514
z3-4.8.1,Z3,Ints,crash,800
z3-4.8.1,Z3,RealInts,unsoundness,0
z3-4.8.1,Z3,RealInts,invalid model,51482
z3-4.8.1,Z3,RealInts,crash,520
z3-4.8.1,Z3,Reals,unsoundness,0
z3-4.8.1,Z3,Reals,invalid model,65066
z3-4.8.1,Z3,Reals,crash,920
z3-4.8.1,Z3,Strings,unsoundness,3750
z3-4.8.1,Z3,Strings,invalid model,6111
z3-4.8.1,Z3,Strings,crash,0
z3-4.8.3,Z3,Arrays,unsoundness,0
z3-4.8.3,Z3,Arrays,invalid model,0
z3-4.8.3,Z3,Arrays,crash,0
z3-4.8.3,Z3,Bitvectors,unsoundness,0
z3-4.8.3,Z3,Bitvectors,invalid model,0
z3-4.8.3,Z3,Bitvectors,crash,0
z3-4.8.3,Z3,Core,unsoundness,0
z3-4.8.3,Z3,Core,invalid model,0
z3-4.8.3,Z3,Core,crash,1742
z3-4.8.3,Z3,FP,unsoundness,0
z3-4.8.3,Z3,FP,invalid model,0
z3-4.8.3,Z3,FP,crash,0
z3-4.8.3,Z3,Ints,unsoundness,0
z3-4.8.3,Z3,Ints,invalid model,79954
z3-4.8.3,Z3,Ints,crash,800
z3-4.8.3,Z3,RealInts,unsoundness,0
z3-4.8.3,Z3,RealInts,invalid model,51492
z3-4.8.3,Z3,RealInts,crash,520
z3-4.8.3,Z3,Reals,unsoundness,0
z3-4.8.3,Z3,Reals,invalid model,65066
z3-4.8.3,Z3,Reals,crash,920
