solver,family,theory,cumulative_time
cvc4-1.5,CVC4/5,Arrays,6018.86013531685
cvc4-1.6,CVC4/5,Arrays,5440.29149746895
cvc4-1.7,CVC4/5,Arrays,5304.98769140244
cvc4-1.8,CVC4/5,Arrays,5551.33452773094
cvc5-0.0.10,CVC4/5,Arrays,7048.91223716736
cvc5-0.0.11,CVC4/5,Arrays,7041.82643342018
cvc5-0.0.12,CVC4/5,Arrays,7036.90446925163
cvc5-0.0.2,CVC4/5,Arrays,6803.15618395805
cvc5-0.0.3,CVC4/5,Arrays,6809.30251288414
cvc5-0.0.4,CVC4/5,Arrays,6735.44216942787
cvc5-0.0.5,CVC4/5,Arrays,6783.79051923752
cvc5-0.0.6,CVC4/5,Arrays,6779.20059514046
cvc5-0.0.7,CVC4/5,Arrays,6786.82812952995
cvc5-0.0.8,CVC4/5,Arrays,7065.61659193039
cvc5-1.0.0,CVC4/5,Arrays,7131.32050275803
cvc5-1.0.1,CVC4/5,Arrays,7154.44977760315
cvc5-1.0.2,CVC4/5,Arrays,7153.82994532585
cvc5-1.0.3,CVC4/5,Arrays,5983.20440626144
cvc5-1.0.4,CVC4/5,Arrays,6036.68603610992
cvc5-1.0.5,CVC4/5,Arrays,6011.20715284348
cvc5-1.0.6,CVC4/5,Arrays,5760.05020046234
cvc5-1.0.7,CVC4/5,Arrays,5788.00353145599
cvc5-1.0.8,CVC4/5,Arrays,5808.74025893211
cvc5-1.0.9,CVC4/5,Arrays,5765.60321426392
cvc5-1.1.0,CVC4/5,Arrays,5754.59985017776
cvc5-1.1.1,CVC4/5,Arrays,5782.52963733673
cvc5-1.1.2,CVC4/5,Arrays,5864.51357722282
z3-4.10.0,Z3,Arrays,17331.748272419
z3-4.10.1,Z3,Arrays,17305.3754191399
z3-4.10.2,Z3,Arrays,17346.3846721649
z3-4.11.0,Z3,Arrays,17534.1966326237
z3-4.11.2,Z3,Arrays,17484.5959801674
z3-4.12.0,Z3,Arrays,18467.5262002945
z3-4.12.1,Z3,Arrays,18327.5613121986
z3-4.12.2,Z3,Arrays,19484.6347970963
z3-4.12.3,Z3,Arrays,18878.7163026333
z3-4.12.4,Z3,Arrays,18888.3528795242
z3-4.12.5,Z3,Arrays,19005.0771567822
z3-4.12.6,Z3,Arrays,18862.6335377693
z3-4.13.0,Z3,Arrays,18876.1090090275
z3-4.5.0,Z3,Arrays,9645.92882871628
z3-4.6.0,Z3,Arrays,9878.0761475563
z3-4.7.1,Z3,Arrays,11531.7964551449
z3-4.8.1,Z3,Arrays,11861.0355792046
z3-4.8.10,Z3,Arrays,11080.101423502
z3-4.8.11,Z3,Arrays,16848.5146288872
z3-4.8.12,Z3,Arrays,16751.1243133545
z3-4.8.13,Z3,Arrays,16979.3881790638
z3-4.8.14,Z3,Arrays,16990.9740934372
z3-4.8.15,Z3,Arrays,17154.1065950394
z3-4.8.16,Z3,Arrays,17288.5504589081
z3-4.8.17,Z3,Arrays,17328.5560481548
z3-4.8.3,Z3,Arrays,11918.267832756
z3-4.8.4,Z3,Arrays,11930.0408172607
z3-4.8.5,Z3,Arrays,11558.206987381
z3-4.8.6,Z3,Arrays,12171.1494641304
z3-4.8.7,Z3,Arrays,12151.6660242081
z3-4.8.8,Z3,Arrays,11507.7826199532
z3-4.8.9,Z3,Arrays,10957.2239863873
z3-4.9.0,Z3,Arrays,17470.4335358143
z3-4.9.1,Z3,Arrays,17474.1442387104
cvc4-1.5,CVC4/5,Bitvectors,27698.1181950569
cvc4-1.6,CVC4/5,Bitvectors,52307.2433493137
cvc4-1.7,CVC4/5,Bitvectors,32215.8359208107
cvc4-1.8,CVC4/5,Bitvectors,34297.8114593029
cvc5-0.0.10,CVC4/5,Bitvectors,55501.8066449165
cvc5-0.0.11,CVC4/5,Bitvectors,55347.2786793709
cvc5-0.0.12,CVC4/5,Bitvectors,55490.5065152645
cvc5-0.0.2,CVC4/5,Bitvectors,55022.071246624
cvc5-0.0.3,CVC4/5,Bitvectors,55045.7402637005
cvc5-0.0.4,CVC4/5,Bitvectors,55144.0933423042
cvc5-0.0.5,CVC4/5,Bitvectors,54829.0829946995
cvc5-0.0.6,CVC4/5,Bitvectors,54797.6786153316
cvc5-0.0.7,CVC4/5,Bitvectors,54940.6372878551
cvc5-0.0.8,CVC4/5,Bitvectors,55488.6855874062
cvc5-1.0.0,CVC4/5,Bitvectors,55517.3502087593
cvc5-1.0.1,CVC4/5,Bitvectors,52472.8645050526
cvc5-1.0.2,CVC4/5,Bitvectors,52505.9110064507
cvc5-1.0.3,CVC4/5,Bitvectors,38923.3871729374
cvc5-1.0.4,CVC4/5,Bitvectors,38752.2320075035
cvc5-1.0.5,CVC4/5,Bitvectors,38828.2197067738
cvc5-1.0.6,CVC4/5,Bitvectors,38969.9846770763
cvc5-1.0.7,CVC4/5,Bitvectors,38909.3796439171
cvc5-1.0.8,CVC4/5,Bitvectors,38895.6592116356
cvc5-1.0.9,CVC4/5,Bitvectors,40105.1519773006
cvc5-1.1.0,CVC4/5,Bitvectors,40049.4854257107
