solver,result,count,theory,family
cvc4-1.5,sat,981961,Arrays,CVC4/5
cvc4-1.6,sat,981961,Arrays,CVC4/5
cvc4-1.7,sat,981961,Arrays,CVC4/5
cvc4-1.8,sat,981962,Arrays,CVC4/5
cvc5-0.0.10,sat,985170,Arrays,CVC4/5
cvc5-0.0.11,sat,985170,Arrays,CVC4/5
cvc5-0.0.12,sat,985170,Arrays,CVC4/5
cvc5-0.0.2,sat,985170,Arrays,CVC4/5
cvc5-0.0.3,sat,985170,Arrays,CVC4/5
cvc5-0.0.4,sat,985170,Arrays,CVC4/5
cvc5-0.0.5,sat,985170,Arrays,CVC4/5
cvc5-0.0.6,sat,985170,Arrays,CVC4/5
cvc5-0.0.7,sat,985170,Arrays,CVC4/5
cvc5-0.0.8,sat,985170,Arrays,CVC4/5
cvc5-1.0.0,sat,985170,Arrays,CVC4/5
cvc5-1.0.1,sat,985172,Arrays,CVC4/5
cvc5-1.0.2,sat,985172,Arrays,CVC4/5
cvc5-1.0.3,sat,985384,Arrays,CVC4/5
cvc5-1.0.4,sat,985384,Arrays,CVC4/5
cvc5-1.0.5,sat,985384,Arrays,CVC4/5
cvc5-1.0.6,sat,971796,Arrays,CVC4/5
cvc5-1.0.7,sat,971796,Arrays,CVC4/5
cvc5-1.0.8,sat,971796,Arrays,CVC4/5
cvc5-1.0.9,sat,971796,Arrays,CVC4/5
cvc5-1.1.0,sat,971796,Arrays,CVC4/5
cvc5-1.1.1,sat,971796,Arrays,CVC4/5
cvc5-1.1.2,sat,971796,Arrays,CVC4/5
z3-4.10.0,sat,985392,Arrays,Z3
z3-4.10.1,sat,985392,Arrays,Z3
z3-4.10.2,sat,985392,Arrays,Z3
z3-4.11.0,sat,985390,Arrays,Z3
z3-4.11.2,sat,985392,Arrays,Z3
z3-4.12.0,sat,985392,Arrays,Z3
z3-4.12.1,sat,985392,Arrays,Z3
z3-4.12.2,sat,985392,Arrays,Z3
z3-4.12.3,sat,985392,Arrays,Z3
z3-4.12.4,sat,985392,Arrays,Z3
z3-4.12.5,sat,985392,Arrays,Z3
z3-4.12.6,sat,985392,Arrays,Z3
z3-4.13.0,sat,985392,Arrays,Z3
z3-4.5.0,sat,985391,Arrays,Z3
z3-4.6.0,sat,985392,Arrays,Z3
z3-4.7.1,sat,985392,Arrays,Z3
z3-4.8.1,sat,985392,Arrays,Z3
z3-4.8.10,sat,985392,Arrays,Z3
z3-4.8.11,sat,985392,Arrays,Z3
z3-4.8.12,sat,985392,Arrays,Z3
z3-4.8.13,sat,985392,Arrays,Z3
z3-4.8.14,sat,985392,Arrays,Z3
z3-4.8.15,sat,985392,Arrays,Z3
z3-4.8.16,sat,985392,Arrays,Z3
z3-4.8.17,sat,985392,Arrays,Z3
z3-4.8.3,sat,985392,Arrays,Z3
z3-4.8.4,sat,985392,Arrays,Z3
z3-4.8.5,sat,985392,Arrays,Z3
z3-4.8.6,sat,985392,Arrays,Z3
z3-4.8.7,sat,985392,Arrays,Z3
z3-4.8.8,sat,985392,Arrays,Z3
z3-4.8.9,sat,985392,Arrays,Z3
z3-4.9.0,sat,985392,Arrays,Z3
z3-4.9.1,sat,985392,Arrays,Z3
cvc4-1.5,unsat,14604,Arrays,CVC4/5
cvc4-1.6,unsat,14604,Arrays,CVC4/5
cvc4-1.7,unsat,14604,Arrays,CVC4/5
cvc4-1.8,unsat,14604,Arrays,CVC4/5
cvc5-0.0.10,unsat,14464,Arrays,CVC4/5
cvc5-0.0.11,unsat,14464,Arrays,CVC4/5
cvc5-0.0.12,unsat,14464,Arrays,CVC4/5
cvc5-0.0.2,unsat,14464,Arrays,CVC4/5
cvc5-0.0.3,unsat,14464,Arrays,CVC4/5
cvc5-0.0.4,unsat,14464,Arrays,CVC4/5
cvc5-0.0.5,unsat,14464,Arrays,CVC4/5
cvc5-0.0.6,unsat,14464,Arrays,CVC4/5
cvc5-0.0.7,unsat,14464,Arrays,CVC4/5
cvc5-0.0.8,unsat,14464,Arrays,CVC4/5
cvc5-1.0.0,unsat,14464,Arrays,CVC4/5
cvc5-1.0.1,unsat,14464,Arrays,CVC4/5
cvc5-1.0.2,unsat,14464,Arrays,CVC4/5
cvc5-1.0.3,unsat,14608,Arrays,CVC4/5
cvc5-1.0.4,unsat,14608,Arrays,CVC4/5
cvc5-1.0.5,unsat,14608,Arrays,CVC4/5
cvc5-1.0.6,unsat,14608,Arrays,CVC4/5
cvc5-1.0.7,unsat,14608,Arrays,CVC4/5
cvc5-1.0.8,unsat,14608,Arrays,CVC4/5
cvc5-1.0.9,unsat,14608,Arrays,CVC4/5
cvc5-1.1.0,unsat,14608,Arrays,CVC4/5
cvc5-1.1.1,unsat,14608,Arrays,CVC4/5
cvc5-1.1.2,unsat,14608,Arrays,CVC4/5
z3-4.10.0,unsat,14608,Arrays,Z3
z3-4.10.1,unsat,14608,Arrays,Z3
z3-4.10.2,unsat,14608,Arrays,Z3
z3-4.11.0,unsat,14608,Arrays,Z3
z3-4.11.2,unsat,14608,Arrays,Z3
z3-4.12.0,unsat,14608,Arrays,Z3
z3-4.12.1,unsat,14608,Arrays,Z3
z3-4.12.2,unsat,14608,Arrays,Z3
z3-4.12.3,unsat,14608,Arrays,Z3
z3-4.12.4,unsat,14608,Arrays,Z3
z3-4.12.5,unsat,14608,Arrays,Z3
z3-4.12.6,unsat,14608,Arrays,Z3
z3-4.13.0,unsat,14608,Arrays,Z3
z3-4.5.0,unsat,14608,Arrays,Z3
z3-4.6.0,unsat,14608,Arrays,Z3
z3-4.7.1,unsat,14608,Arrays,Z3
z3-4.8.1,unsat,14608,Arrays,Z3
z3-4.8.10,unsat,14608,Arrays,Z3
z3-4.8.11,unsat,14608,Arrays,Z3
z3-4.8.12,unsat,14608,Arrays,Z3
z3-4.8.13,unsat,14608,Arrays,Z3
z3-4.8.14,unsat,14608,Arrays,Z3
z3-4.8.15,unsat,14608,Arrays,Z3
z3-4.8.16,unsat,14608,Arrays,Z3
z3-4.8.17,unsat,14608,Arrays,Z3
z3-4.8.3,unsat,14608,Arrays,Z3
z3-4.8.4,unsat,14608,Arrays,Z3
z3-4.8.5,unsat,14608,Arrays,Z3
z3-4.8.6,unsat,14608,Arrays,Z3
z3-4.8.7,unsat,14608,Arrays,Z3
z3-4.8.8,unsat,14608,Arrays,Z3
z3-4.8.9,unsat,14608,Arrays,Z3
z3-4.9.0,unsat,14608,Arrays,Z3
z3-4.9.1,unsat,14608,Arrays,Z3
cvc5-0.0.10,rejected,28,Arrays,CVC4/5
cvc5-0.0.11,rejected,28,Arrays,CVC4/5
cvc5-0.0.12,rejected,28,Arrays,CVC4/5
cvc5-0.0.2,rejected,28,Arrays,CVC4/5
cvc5-0.0.3,rejected,28,Arrays,CVC4/5
cvc5-0.0.4,rejected,28,Arrays,CVC4/5
cvc5-0.0.5,rejected,28,Arrays,CVC4/5
cvc5-0.0.6,rejected,28,Arrays,CVC4/5
cvc5-0.0.7,rejected,28,Arrays,CVC4/5
cvc5-0.0.8,rejected,28,Arrays,CVC4/5
cvc5-1.0.0,rejected,28,Arrays,CVC4/5
cvc5-1.0.1,rejected,28,Arrays,CVC4/5
cvc5-1.0.2,rejected,28,Arrays,CVC4/5
cvc4-1.5,crash,3435,Arrays,CVC4/5
cvc4-1.6,crash,3435,Arrays,CVC4/5
cvc4-1.7,crash,3435,Arrays,CVC4/5
cvc4-1.8,invmodel,3434,Arrays,CVC4/5
cvc5-0.0.10,invmodel,336,Arrays,CVC4/5
cvc5-0.0.11,invmodel,336,Arrays,CVC4/5
cvc5-0.0.12,invmodel,336,Arrays,CVC4/5
cvc5-0.0.2,invmodel,336,Arrays,CVC4/5
cvc5-0.0.3,invmodel,336,Arrays,CVC4/5
cvc5-0.0.4,invmodel,336,Arrays,CVC4/5
cvc5-0.0.5,invmodel,336,Arrays,CVC4/5
cvc5-0.0.6,invmodel,336,Arrays,CVC4/5
cvc5-0.0.7,invmodel,336,Arrays,CVC4/5
cvc5-0.0.8,invmodel,336,Arrays,CVC4/5
cvc5-1.0.0,invmodel,336,Arrays,CVC4/5
cvc5-1.0.1,invmodel,336,Arrays,CVC4/5
cvc5-1.0.2,invmodel,336,Arrays,CVC4/5
cvc5-1.0.3,invmodel,8,Arrays,CVC4/5
cvc5-1.0.4,invmodel,8,Arrays,CVC4/5
cvc5-1.0.5,invmodel,8,Arrays,CVC4/5
cvc5-1.0.6,invmodel,13596,Arrays,CVC4/5
cvc5-1.0.7,invmodel,13596,Arrays,CVC4/5
cvc5-1.0.8,invmodel,13596,Arrays,CVC4/5
cvc5-1.0.9,invmodel,13596,Arrays,CVC4/5
cvc5-1.1.0,invmodel,13596,Arrays,CVC4/5
cvc5-1.1.1,invmodel,13596,Arrays,CVC4/5
cvc5-1.1.2,invmodel,13596,Arrays,CVC4/5
cvc4-1.5,sat,641699,Bitvectors,CVC4/5
cvc4-1.6,sat,610856,Bitvectors,CVC4/5
cvc4-1.7,sat,614091,Bitvectors,CVC4/5
cvc4-1.8,sat,611924,Bitvectors,CVC4/5
cvc5-0.0.10,sat,608702,Bitvectors,CVC4/5
cvc5-0.0.11,sat,608718,Bitvectors,CVC4/5
cvc5-0.0.12,sat,608600,Bitvectors,CVC4/5
cvc5-0.0.2,sat,608288,Bitvectors,CVC4/5
cvc5-0.0.3,sat,608257,Bitvectors,CVC4/5
cvc5-0.0.4,sat,608561,Bitvectors,CVC4/5
cvc5-0.0.5,sat,608742,Bitvectors,CVC4/5
cvc5-0.0.6,sat,608762,Bitvectors,CVC4/5
cvc5-0.0.7,sat,608714,Bitvectors,CVC4/5
cvc5-0.0.8,sat,608645,Bitvectors,CVC4/5
cvc5-1.0.0,sat,608628,Bitvectors,CVC4/5
cvc5-1.0.1,sat,613450,Bitvectors,CVC4/5
cvc5-1.0.2,sat,613497,Bitvectors,CVC4/5
cvc5-1.0.3,sat,616649,Bitvectors,CVC4/5
cvc5-1.0.4,sat,616966,Bitvectors,CVC4/5
cvc5-1.0.5,sat,616808,Bitvectors,CVC4/5
cvc5-1.0.6,sat,616638,Bitvectors,CVC4/5
cvc5-1.0.7,sat,616689,Bitvectors,CVC4/5
cvc5-1.0.8,sat,616840,Bitvectors,CVC4/5
cvc5-1.0.9,sat,616081,Bitvectors,CVC4/5
cvc5-1.1.0,sat,616091,Bitvectors,CVC4/5
cvc5-1.1.1,sat,618089,Bitvectors,CVC4/5
cvc5-1.1.2,sat,617859,Bitvectors,CVC4/5
z3-4.10.0,sat,602463,Bitvectors,Z3
z3-4.10.1,sat,602610,Bitvectors,Z3
z3-4.10.2,sat,602246,Bitvectors,Z3
z3-4.11.0,sat,602023,Bitvectors,Z3
z3-4.11.2,sat,602480,Bitvectors,Z3
z3-4.12.0,sat,596255,Bitvectors,Z3
z3-4.12.1,sat,596262,Bitvectors,Z3
z3-4.12.2,sat,596152,Bitvectors,Z3
z3-4.12.3,sat,596251,Bitvectors,Z3
z3-4.12.4,sat,596212,Bitvectors,Z3
z3-4.12.5,sat,596301,Bitvectors,Z3
z3-4.12.6,sat,596337,Bitvectors,Z3
z3-4.13.0,sat,596320,Bitvectors,Z3
z3-4.5.0,sat,635023,Bitvectors,Z3
z3-4.6.0,sat,637371,Bitvectors,Z3
z3-4.7.1,sat,639435,Bitvectors,Z3
z3-4.8.1,sat,637527,Bitvectors,Z3
z3-4.8.10,sat,626073,Bitvectors,Z3
z3-4.8.11,sat,606181,Bitvectors,Z3
z3-4.8.12,sat,604958,Bitvectors,Z3
z3-4.8.13,sat,603703,Bitvectors,Z3
z3-4.8.14,sat,603294,Bitvectors,Z3
z3-4.8.15,sat,603230,Bitvectors,Z3
z3-4.8.16,sat,603117,Bitvectors,Z3
z3-4.8.17,sat,602920,Bitvectors,Z3
z3-4.8.3,sat,638159,Bitvectors,Z3
z3-4.8.4,sat,637836,Bitvectors,Z3
z3-4.8.5,sat,621324,Bitvectors,Z3
z3-4.8.6,sat,617722,Bitvectors,Z3
z3-4.8.7,sat,618128,Bitvectors,Z3
z3-4.8.8,sat,621241,Bitvectors,Z3
z3-4.8.9,sat,608334,Bitvectors,Z3
z3-4.9.0,sat,602137,Bitvectors,Z3
z3-4.9.1,sat,602350,Bitvectors,Z3
cvc4-1.5,unsat,259554,Bitvectors,CVC4/5
cvc4-1.6,unsat,284909,Bitvectors,CVC4/5
cvc4-1.7,unsat,285771,Bitvectors,CVC4/5
cvc4-1.8,unsat,285513,Bitvectors,CVC4/5
cvc5-0.0.10,unsat,280455,Bitvectors,CVC4/5
cvc5-0.0.11,unsat,280506,Bitvectors,CVC4/5
cvc5-0.0.12,unsat,280360,Bitvectors,CVC4/5
cvc5-0.0.2,unsat,279724,Bitvectors,CVC4/5
cvc5-0.0.3,unsat,279670,Bitvectors,CVC4/5
