solver,throughput,theory,family
cvc4-1.5,163.205586509599,Arrays,CVC4/5
cvc4-1.6,180.411157818813,Arrays,CVC4/5
cvc4-1.7,185.09263688089,Arrays,CVC4/5
cvc4-1.8,176.890804987932,Arrays,CVC4/5
cvc5-0.0.10,139.45214668674,Arrays,CVC4/5
cvc5-0.0.11,139.594354091634,Arrays,CVC4/5
cvc5-0.0.12,139.691792844674,Arrays,CVC4/5
cvc5-0.0.2,144.503369328551,Arrays,CVC4/5
cvc5-0.0.3,144.372393058599,Arrays,CVC4/5
cvc5-0.0.4,145.939308663453,Arrays,CVC4/5
cvc5-0.0.5,144.897474262895,Arrays,CVC4/5
cvc5-0.0.6,144.997335831872,Arrays,CVC4/5
cvc5-0.0.7,144.835504982297,Arrays,CVC4/5
cvc5-0.0.8,139.122401416271,Arrays,CVC4/5
cvc5-1.0.0,137.845496211797,Arrays,CVC4/5
cvc5-1.0.1,137.394240516707,Arrays,CVC4/5
cvc5-1.0.2,137.407846399898,Arrays,CVC4/5
cvc5-1.0.3,164.204030348529,Arrays,CVC4/5
cvc5-1.0.4,162.752019311763,Arrays,CVC4/5
cvc5-1.0.5,163.445766977798,Arrays,CVC4/5
cvc5-1.0.6,170.616007526881,Arrays,CVC4/5
cvc5-1.0.7,169.792114977759,Arrays,CVC4/5
cvc5-1.0.8,169.184949942396,Arrays,CVC4/5
cvc5-1.0.9,170.452473045788,Arrays,CVC4/5
cvc5-1.1.0,170.77880237165,Arrays,CVC4/5
cvc5-1.1.1,169.95549882471,Arrays,CVC4/5
cvc5-1.1.2,167.580374525781,Arrays,CVC4/5
z3-4.10.0,56.6887486267587,Arrays,Z3
z3-4.10.1,56.7750008069611,Arrays,Z3
z3-4.10.2,56.6403516175313,Arrays,Z3
z3-4.11.0,56.0345689703782,Arrays,Z3
z3-4.11.2,56.1933083474606,Arrays,Z3
z3-4.12.0,53.2027633371262,Arrays,Z3
z3-4.12.1,53.6089127917047,Arrays,Z3
z3-4.12.2,50.4257785293324,Arrays,Z3
z3-4.12.3,52.0440116164817,Arrays,Z3
z3-4.12.4,52.017124214628,Arrays,Z3
z3-4.12.5,51.6975604353363,Arrays,Z3
z3-4.12.6,52.0879373188534,Arrays,Z3
z3-4.13.0,52.0512670951704,Arrays,Z3
z3-4.5.0,101.809223154925,Arrays,Z3
z3-4.6.0,99.4156013078455,Arrays,Z3
z3-4.7.1,85.1651741235061,Arrays,Z3
z3-4.8.1,82.7940445174664,Arrays,Z3
z3-4.8.10,88.6696976729283,Arrays,Z3
z3-4.8.11,58.313951463817,Arrays,Z3
z3-4.8.12,58.6532352974396,Arrays,Z3
z3-4.8.13,57.864200608151,Arrays,Z3
z3-4.8.14,57.8249422846697,Arrays,Z3
z3-4.8.15,57.2755315088293,Arrays,Z3
z3-4.8.16,56.8304518044154,Arrays,Z3
z3-4.8.17,56.6989549846188,Arrays,Z3
