timeout,theory,index,solver,count
0.125,FloatingPoints,3,z3-after ,21
0.125,FloatingPoints,3,z3-before,489
0.25,FloatingPoints,3,z3-after ,5000
0.25,FloatingPoints,3,z3-before,5000
0.5,FloatingPoints,3,z3-after ,5000
0.5,FloatingPoints,3,z3-before,5000
1,FloatingPoints,3,z3-after ,5000
1,FloatingPoints,3,z3-before,5000
2,FloatingPoints,3,z3-after ,5000
2,FloatingPoints,3,z3-before,5000
4,FloatingPoints,3,z3-after ,5000
4,FloatingPoints,3,z3-before,5000
8,FloatingPoints,3,z3-after ,5000
8,FloatingPoints,3,z3-before,5000
0.03125,Bitvectors,6,z3-after ,24
0.03125,Bitvectors,6,z3-before,786
0.0625,Bitvectors,6,z3-after ,775
0.0625,Bitvectors,6,z3-before,808
0.125,Bitvectors,6,z3-after ,808
0.125,Bitvectors,6,z3-before,808
0.25,Bitvectors,6,z3-after ,808
0.25,Bitvectors,6,z3-before,808
0.5,Bitvectors,6,z3-after ,808
0.5,Bitvectors,6,z3-before,808
1,Bitvectors,6,z3-after ,808
1,Bitvectors,6,z3-before,808
2,Bitvectors,6,z3-after ,808
2,Bitvectors,6,z3-before,833
4,Bitvectors,6,z3-after ,860
4,Bitvectors,6,z3-before,849
8,Bitvectors,6,z3-after ,3126
8,Bitvectors,6,z3-before,1750
0.125,FloatingPoints,2,z3-after ,2
0.125,FloatingPoints,2,z3-before,192
0.25,FloatingPoints,2,z3-after ,4990
0.25,FloatingPoints,2,z3-before,4995
0.5,FloatingPoints,2,z3-after ,5000
0.5,FloatingPoints,2,z3-before,5000
1,FloatingPoints,2,z3-after ,5000
1,FloatingPoints,2,z3-before,5000
2,FloatingPoints,2,z3-after ,5000
2,FloatingPoints,2,z3-before,5000
4,FloatingPoints,2,z3-after ,5000
4,FloatingPoints,2,z3-before,5000
8,FloatingPoints,2,z3-after ,5000
8,FloatingPoints,2,z3-before,5000
0.015625,Core,3,z3-before,17
0.03125,Core,3,z3-after ,25
0.03125,Core,3,z3-before,4999
0.0625,Core,3,z3-after ,91
0.0625,Core,3,z3-before,5000
0.125,Core,3,z3-after ,5000
0.125,Core,3,z3-before,5000
0.25,Core,3,z3-after ,5000
0.25,Core,3,z3-before,5000
0.5,Core,3,z3-after ,5000
0.5,Core,3,z3-before,5000
1,Core,3,z3-after ,5000
1,Core,3,z3-before,5000
2,Core,3,z3-after ,5000
2,Core,3,z3-before,5000
4,Core,3,z3-after ,5000
4,Core,3,z3-before,5000
8,Core,3,z3-after ,5000
8,Core,3,z3-before,5000
0.015625,Ints,3,z3-before,22
0.03125,Ints,3,z3-after ,36
0.03125,Ints,3,z3-before,4980
0.0625,Ints,3,z3-after ,4251
0.0625,Ints,3,z3-before,4985
0.125,Ints,3,z3-after ,4991
0.125,Ints,3,z3-before,4993
0.25,Ints,3,z3-after ,4997
0.25,Ints,3,z3-before,4997
0.5,Ints,3,z3-after ,4997
0.5,Ints,3,z3-before,4997
1,Ints,3,z3-after ,4997
1,Ints,3,z3-before,4997
2,Ints,3,z3-after ,4997
2,Ints,3,z3-before,4997
4,Ints,3,z3-after ,5000
4,Ints,3,z3-before,5000
8,Ints,3,z3-after ,5000
8,Ints,3,z3-before,5000
0.5,BitvectorArrays,3,z3-after ,3
0.5,BitvectorArrays,3,z3-before,3
1,BitvectorArrays,3,z3-after ,4
1,BitvectorArrays,3,z3-before,5
2,BitvectorArrays,3,z3-after ,161
2,BitvectorArrays,3,z3-before,161
4,BitvectorArrays,3,z3-after ,696
4,BitvectorArrays,3,z3-before,686
8,BitvectorArrays,3,z3-after ,1413
8,BitvectorArrays,3,z3-before,1410
1,BitvectorArrays,5,z3-after ,1
1,BitvectorArrays,5,z3-before,1
2,BitvectorArrays,5,z3-after ,12
2,BitvectorArrays,5,z3-before,12
4,BitvectorArrays,5,z3-after ,61
4,BitvectorArrays,5,z3-before,60
8,BitvectorArrays,5,z3-after ,236
8,BitvectorArrays,5,z3-before,233
0.03125,Bitvectors,1,z3-before,722
0.0625,Bitvectors,1,z3-after ,22
0.0625,Bitvectors,1,z3-before,799
0.125,Bitvectors,1,z3-after ,786
0.125,Bitvectors,1,z3-before,799
0.25,Bitvectors,1,z3-after ,799
0.25,Bitvectors,1,z3-before,799
0.5,Bitvectors,1,z3-after ,799
0.5,Bitvectors,1,z3-before,799
1,Bitvectors,1,z3-after ,799
1,Bitvectors,1,z3-before,803
2,Bitvectors,1,z3-after ,820
2,Bitvectors,1,z3-before,4425
4,Bitvectors,1,z3-after ,2154
4,Bitvectors,1,z3-before,5000
8,Bitvectors,1,z3-after ,4009
8,Bitvectors,1,z3-before,5000
4,BitvectorArrays,1,z3-after ,1
4,BitvectorArrays,1,z3-before,2
8,BitvectorArrays,1,z3-after ,189
8,BitvectorArrays,1,z3-before,189
0.015625,FloatingPoints,6,z3-before,533
0.03125,FloatingPoints,6,z3-after ,713
0.03125,FloatingPoints,6,z3-before,714
0.0625,FloatingPoints,6,z3-after ,714
0.0625,FloatingPoints,6,z3-before,714
0.125,FloatingPoints,6,z3-after ,715
0.125,FloatingPoints,6,z3-before,716
0.25,FloatingPoints,6,z3-after ,5000
0.25,FloatingPoints,6,z3-before,5000
0.5,FloatingPoints,6,z3-after ,5000
0.5,FloatingPoints,6,z3-before,5000
1,FloatingPoints,6,z3-after ,5000
1,FloatingPoints,6,z3-before,5000
2,FloatingPoints,6,z3-after ,5000
2,FloatingPoints,6,z3-before,5000
4,FloatingPoints,6,z3-after ,5000
4,FloatingPoints,6,z3-before,5000
8,FloatingPoints,6,z3-after ,5000
8,FloatingPoints,6,z3-before,5000
0.015625,Core,5,z3-before,17
0.03125,Core,5,z3-after ,24
0.03125,Core,5,z3-before,5000
0.0625,Core,5,z3-after ,164
0.0625,Core,5,z3-before,5000
0.125,Core,5,z3-after ,5000
0.125,Core,5,z3-before,5000
0.25,Core,5,z3-after ,5000
0.25,Core,5,z3-before,5000
0.5,Core,5,z3-after ,5000
0.5,Core,5,z3-before,5000
1,Core,5,z3-after ,5000
1,Core,5,z3-before,5000
2,Core,5,z3-after ,5000
2,Core,5,z3-before,5000
4,Core,5,z3-after ,5000
4,Core,5,z3-before,5000
8,Core,5,z3-after ,5000
8,Core,5,z3-before,5000
0.125,FloatingPoints,1,z3-after ,601
0.125,FloatingPoints,1,z3-before,2558
0.25,FloatingPoints,1,z3-after ,2590
0.25,FloatingPoints,1,z3-before,3172
0.5,FloatingPoints,1,z3-after ,5000
0.5,FloatingPoints,1,z3-before,5000
1,FloatingPoints,1,z3-after ,5000
1,FloatingPoints,1,z3-before,5000
2,FloatingPoints,1,z3-after ,5000
2,FloatingPoints,1,z3-before,5000
4,FloatingPoints,1,z3-after ,5000
4,FloatingPoints,1,z3-before,5000
8,FloatingPoints,1,z3-after ,5000
8,FloatingPoints,1,z3-before,5000
4,Ints,2,z3-after ,359
4,Ints,2,z3-before,359
8,Ints,2,z3-after ,364
8,Ints,2,z3-before,362
0.5,Bitvectors,5,z3-before,2
1,Bitvectors,5,z3-after ,27
1,Bitvectors,5,z3-before,725
2,Bitvectors,5,z3-after ,2688
2,Bitvectors,5,z3-before,3021
4,Bitvectors,5,z3-after ,4716
4,Bitvectors,5,z3-before,4812
8,Bitvectors,5,z3-after ,4927
8,Bitvectors,5,z3-before,4929
0.015625,Core,4,z3-before,19
0.03125,Core,4,z3-after ,24
0.03125,Core,4,z3-before,5000
0.0625,Core,4,z3-after ,189
0.0625,Core,4,z3-before,5000
0.125,Core,4,z3-after ,5000
0.125,Core,4,z3-before,5000
0.25,Core,4,z3-after ,5000
0.25,Core,4,z3-before,5000
0.5,Core,4,z3-after ,5000
